Langtag,Lognrwords,COMPATIBLE,INCOMPATIBLE
xu,1,0,1
xu,0,0,1
pr,1,0,745
pr,0,0,85
pr,3,0,1
pr,2,0,91
ps,1,20251,578
ps,0,454,127
ps,3,33,5
ps,2,998,128
ps,4,2,1
pt,11,210,1
pt,10,1684,16
pt,13,3,0
pt,12,44,0
pt,1,1743037,3970586
pt,0,1800762,1884501
pt,3,2703800,322176
pt,2,5727164,2094156
pt,5,2168923,52216
pt,4,1151864,113297
pt,7,322399,1734
pt,6,1341768,18004
pt,9,16528,96
pt,8,114491,471
tl,11,7,68
tl,10,331,170
tl,12,6,4
tl,1,68308,2231161
tl,0,7458,651848
tl,3,236499,353822
tl,2,65934,459561
tl,5,62989,1107319
tl,4,63597,1066505
tl,7,13452,2886
tl,6,49380,24824
tl,9,617,199
tl,8,4337,792
by,1,0,4
pc,1,0,1737
pc,0,0,1032
pc,3,0,12
pc,2,0,215
pc,4,0,1
pa,10,0,12
pa,1,32101,38694
pa,0,7696,3752
pa,3,200,18055
pa,2,2679,14933
pa,5,1,70740
pa,4,15,26005
pa,7,0,9094
pa,6,0,16889
pa,9,0,181
pa,8,0,1629
pf,1,0,165
pf,0,0,347
pf,3,0,2
pf,2,0,118
pd,1,0,428
pd,0,0,166
pd,3,0,2
pd,2,0,46
pe,1,0,1
kh,1,0,25
kh,0,0,23
kh,2,0,5
pi,1,0,18212
pi,0,0,545
pi,2,0,23
pn,1,0,18409
pn,0,0,557
pn,3,0,4
pn,2,0,969
ak,1,73,17950
ak,0,39,123
ak,3,5,0
ak,2,13,14
pl,11,78,18
pl,10,1174,30
pl,13,3,0
pl,12,7,11
pl,1,6241465,4179833
pl,0,3071083,1670142
pl,3,1105794,258024
pl,2,2287231,1505692
pl,5,2890740,14526
pl,4,2423911,51547
pl,7,377752,1878
pl,6,1173671,4608
pl,9,15135,186
pl,8,113622,568
pm,1,0,11418
pm,0,0,7112
pm,3,0,24
pm,2,0,1653
hz,1,0,2
hz,0,0,6
hy,11,32,4
hy,10,8895,0
hy,12,7,0
hy,1,618529,38553
hy,0,557818,35022
hy,3,31353,3630
hy,2,98014,36264
hy,5,62203,84
